"","Model","Missing","Separate_Components","Fit","AUC","AUC_lb","AUC_ub","threshold","sensitivity","specificity","ppv","npv","threshold_lb","threshold_ub","sensitivity_lb","sensitivity_ub","specificity_lb","specificity_ub","ppv_lb","ppv_ub","npv_lb","npv_ub","cal_intercept","cal_intercept_lb","cal_intercept_ub","cal_slope","cal_slope_lb","cal_slope_ub","brier","brier_lb","brier_ub"
"threshold...1","Random Forest","Complete-Case Proportion","Summary Measure","Full-Sample",0.589265536723164,0.532563740402723,0.642779588584675,0.133451918261051,0.743589743589744,0.398305084745763,0.19683257918552,0.886792452830189,0.0999556918301617,0.27355781594163,0.201548941339813,0.9344300597518,0.202696217159568,0.944156295596944,0.168140090448788,0.40983606557377,0.84153825136612,0.944444444444444,0,-0.21,0.2,0.68,0.28,1.08,0.136136725927474,0.118651658620945,0.15471889895448
"threshold...2","Random Forest","Complete-Case Proportion","Summary Measure","K-Fold",0.569477038968564,0.513623424598,0.625990692452556,0.150052654640403,0.658119658119658,0.48135593220339,0.201044386422977,0.876543209876543,0.111087199372392,0.284965229675081,0.170207446808511,0.888888888888889,0.26271186440678,0.953796648895659,0.16551663428849,0.452837558962264,0.838604604376006,0.932205596751412,-0.01,-0.21,0.19,0.54,0.16,0.92,0.137518635614575,0.119700267021242,0.155832097414325
"threshold...3","Random Forest","Counts of Unhealthy and Missing Components","Summary Measure","Full-Sample",0.556178473127625,0.497911777488049,0.613014269158337,0.245009080612481,0.324786324786325,0.774576271186441,0.222222222222222,0.852611940298508,0.0249193458357217,0.326991146042259,0.10923987776929,0.901112412177986,0.222217584863662,0.953020134228188,0.160818713450292,0.34,0.830792096622889,0.925289500772002,-0.04,-0.25,0.17,0.19,0.01,0.38,0.146476068036998,0.128165233062795,0.165540345121009
"threshold...4","Random Forest","Counts of Unhealthy and Missing Components","Summary Measure","K-Fold",0.547023033463711,0.4910870273794,0.603348544111256,0.08431634897668,0.794871794871795,0.347457627118644,0.194560669456067,0.895196506550218,0.0788909508312111,0.37006819990523,0.16513538790416,0.864001941747573,0.315433978066254,0.933104774634717,0.161375661375661,0.390243902439024,0.837680688876341,0.932126696832579,-0.07,-0.29,0.14,0.19,0,0.37,0.148438840811897,0.130013708174369,0.167288972032641
"threshold...5","Random Forest","Best Case Imputation","Summary Measure","Full-Sample",0.600086918730987,0.542401492104882,0.65558561495002,0.158179697881727,0.615384615384615,0.552542372881356,0.214285714285714,0.878706199460916,0.138371233296109,0.23749008407972,0.257142857142857,0.780952380952381,0.415513254498405,0.896666666666667,0.182389937106918,0.373831775700935,0.846150729335494,0.918636158808462,0,-0.2,0.2,0.8,0.36,1.23,0.135473452722612,0.117934060193916,0.153749866680141
"threshold...6","Random Forest","Best Case Imputation","Summary Measure","K-Fold",0.578168912067218,0.522466862233811,0.634979900043459,0.177248822277541,0.478632478632479,0.64406779661017,0.210526315789474,0.861678004535147,0.124333537130354,0.270119728099624,0.190080578512397,0.863247863247863,0.293307544475676,0.934235482991807,0.170640852671344,0.404769439421338,0.837661500870264,0.924528301886792,-0.02,-0.22,0.18,0.62,0.21,1.04,0.1369018598505,0.119153008966183,0.155183957500739
"threshold...7","Random Forest","Worst Case Imputation","Summary Measure","Full-Sample",0.588092133854846,0.53117231638418,0.642562291757207,0.223812594938727,0.264957264957265,0.88135593220339,0.306930693069307,0.858085808580858,0.120413537149039,0.253263758378966,0.189650635208711,0.887096774193548,0.286201022146508,0.951142051322793,0.17450916013685,0.5,0.840065656565657,0.934866345896819,0,-0.2,0.2,0.83,0.38,1.29,0.135331232203815,0.11771190936179,0.154103784957361
"threshold...8","Random Forest","Worst Case Imputation","Summary Measure","K-Fold",0.572425032594524,0.515123859191656,0.630342604664639,0.229013408643645,0.273504273504274,0.859322033898305,0.278260869565217,0.856418918918919,0.110996897537002,0.262075371401911,0.19327731092437,0.906542056074766,0.24998973727422,0.940171650055371,0.164705882352941,0.444444444444444,0.833333333333333,0.938775510204082,-0.01,-0.21,0.19,0.64,0.21,1.06,0.136605118627191,0.119039132001776,0.154700722787651
"threshold...9","Random Forest","Best Case Imputation","Separate Components","Full-Sample",0.579096045197739,0.520424090974938,0.635420469361149,0.118231898414819,0.777777777777778,0.372881355932203,0.197396963123644,0.894308943089431,0.111018368439089,0.256324760293619,0.207915079969535,0.869565217391304,0.304054054054054,0.903780068728522,0.171188580160558,0.32258064516129,0.842882888830209,0.933333333333333,-0.01,-0.21,0.19,0.51,0.16,0.86,0.137810675651411,0.120258542509903,0.156504376155179
"threshold...10","Random Forest","Best Case Imputation","Separate Components","K-Fold",0.583666521802117,0.528037085325221,0.639396276981023,0.137438222187737,0.692307692307692,0.46271186440678,0.203517587939698,0.883495145631068,0.114281713057195,0.315153926355564,0.198110872407996,0.846153846153846,0.308467904494223,0.947103399773268,0.170212765957447,0.397277746715124,0.843880906222678,0.925569076357911,-0.04,-0.25,0.16,0.53,0.2,0.87,0.13763040163291,0.120032445466919,0.155929273747416
