"","Model","Missing","Separate_Components","Fit","AUC","AUC_lb","AUC_ub","threshold","sensitivity","specificity","ppv","npv","threshold_lb","threshold_ub","sensitivity_lb","sensitivity_ub","specificity_lb","specificity_ub","ppv_lb","ppv_ub","npv_lb","npv_ub","cal_intercept","cal_intercept_lb","cal_intercept_ub","cal_slope","cal_slope_lb","cal_slope_ub","brier","brier_lb","brier_ub"
"threshold...1","Logistic","Complete-Case Proportion","Summary Measure","Full-Sample",0.623294219904389,0.568686983920035,0.675243372446762,0.14448410066243,0.786324786324786,0.420338983050847,0.211981566820276,0.908424908424908,0.132152406742807,0.217528826904653,0.360344157106747,0.885964912280702,0.348122866894198,0.8416526821572,0.181236324615227,0.331130814649326,0.861878453038674,0.94758064516129,-6.23275173264076e-09,-0.2010541867122,0.201054174246696,1.00000000692925,0.533189320270749,1.46681069358775,0.134508062803052,0.117107190002215,0.152751859377857
"threshold...2","Logistic","Complete-Case Proportion","Summary Measure","K-Fold",0.606605823554977,0.552041684774736,0.662097638707808,0.145091531246825,0.777777777777778,0.425423728813559,0.211627906976744,0.906137184115523,0.127577980122979,0.192825346757772,0.469565217391304,0.875,0.339457281848586,0.71502078479478,0.179485645933014,0.28937969924812,0.860512443405584,0.94306049822064,-0.00239507577654693,-0.203531514962178,0.198741363409084,0.807893633196554,0.359661673410062,1.25612559298305,0.135574063961838,0.118147432298639,0.153526456109978
"threshold...3","Logistic","Counts of Unhealthy and Missing Components","Summary Measure","Full-Sample",0.6281761552948,0.574175539620455,0.679407866145154,0.144364689243974,0.769230769230769,0.447457627118644,0.216346153846154,0.907216494845361,0.11772395244053,0.200060676824114,0.434426229508197,0.909090909090909,0.307164229104153,0.771812080536913,0.181818181818182,0.302439024390244,0.866278779650002,0.951417986714359,-2.75586437747995e-09,-0.201393842137817,0.201393836626089,1.00000000353319,0.558920202154518,1.44107980491185,0.134272241414926,0.116899610950519,0.152501285075811
"threshold...4","Logistic","Counts of Unhealthy and Missing Components","Summary Measure","K-Fold",0.608068955526582,0.554199985513545,0.66182873388382,0.153039973865216,0.735042735042735,0.474576271186441,0.217171717171717,0.90032154340836,0.116302533099947,0.192368680583892,0.48695652173913,0.885250170765027,0.315422637296477,0.722982841088511,0.181033507567483,0.272290438349141,0.869565217391304,0.943661971830986,-0.00550993833563418,-0.20698076904117,0.195960892369901,0.806404879987213,0.37910206564075,1.23370769433368,0.135556790558849,0.118106394000252,0.153335941730433
"threshold...5","Logistic","Best Case Imputation","Summary Measure","Full-Sample",0.615833695494712,0.560429704476314,0.668930899608866,0.17902676173009,0.615384615384615,0.593220338983051,0.230769230769231,0.886075949367089,0.134385704539121,0.21827545040678,0.326387061403509,0.837219240707613,0.359094383220761,0.859378919314381,0.186884027705266,0.336540841584158,0.85566965486329,0.926952494834857,-2.46315320790227e-09,-0.200619220665553,0.200619215739246,1.00000000328908,0.49451697347811,1.50548303310004,0.135007752416175,0.117566356861282,0.153396847729466
"threshold...6","Logistic","Best Case Imputation","Summary Measure","K-Fold",0.597030276691292,0.541517456178473,0.652311676082862,0.188864874831397,0.504273504273504,0.666101694915254,0.23046875,0.87139689578714,0.134785538642741,0.211098445628594,0.373831775700935,0.830188679245283,0.355843976630038,0.79933361634869,0.179557697137117,0.293706293706294,0.850550828610965,0.924924924924925,-0.00270758566429234,-0.203432448921823,0.198017277593239,0.769782181046651,0.288502127546322,1.25106223454698,0.136131313304111,0.118498279758246,0.154240420023182
"threshold...7","Logistic","Worst Case Imputation","Summary Measure","Full-Sample",0.627900912646676,0.574220628712154,0.679190931479067,0.148422116258641,0.743589743589744,0.461016949152542,0.214814814814815,0.900662251655629,0.114148114913497,0.212468080578953,0.411275921658986,0.923076923076923,0.289114645858343,0.812294613394914,0.181236324615227,0.298249151103565,0.865261357619401,0.954751699674845,-2.6043312402007e-09,-0.201312163885359,0.201312158676696,1.00000000239965,0.553141730377868,1.44685827442143,0.134356510842026,0.116900668459741,0.15258689556831
"threshold...8","Logistic","Worst Case Imputation","Summary Measure","K-Fold",0.609068520932927,0.555142510502679,0.662936585542518,0.154387617902786,0.735042735042735,0.491525423728814,0.22279792746114,0.903426791277259,0.123256460786757,0.192297624150671,0.537190082644628,0.864,0.341782178648858,0.695657776781712,0.184153901761803,0.272021214810561,0.870767676767677,0.938512707511846,-0.0037761273427238,-0.20518410392346,0.197631849238013,0.80787964959811,0.376589456910733,1.23916984228549,0.135601077460258,0.118134330216438,0.153332998340427
"threshold...9","Logistic","Best Case Imputation","Separate Components","Full-Sample",0.645219469795742,0.589959981167607,0.697922099087353,0.176768595496387,0.572649572649573,0.691525423728814,0.269076305220884,0.890829694323144,0.156914494862468,0.195146939374594,0.463414634146341,0.756521739130435,0.53690873630471,0.78657487091222,0.208210326069182,0.333333333333333,0.864618318388261,0.925534112889045,-1.01684826836364e-08,-0.202417296450664,0.202417276113699,1.00000049197267,0.609558332618125,1.39044265132722,0.132622532818521,0.115431653768688,0.150611180830277
"threshold...10","Logistic","Best Case Imputation","Separate Components","K-Fold",0.599427785021005,0.542248841083587,0.654745762711864,0.171689191407284,0.547008547008547,0.645762711864407,0.234432234432234,0.877880184331797,0.132234379903614,0.22026120739744,0.31578947368421,0.75,0.426881157635468,0.859060972413714,0.189872344990345,0.342342342342342,0.847705517740291,0.917808219178082,-0.0116665011076806,-0.214666952570918,0.191333950355557,0.629295673453833,0.269961613050387,0.98862973385728,0.136456425608592,0.118921714643791,0.154696653962999
"threshold...11","Logistic","Worst Case Imputation","Separate Components","Full-Sample",0.665355642474286,0.611834528465884,0.716133021874549,0.196838624402765,0.521367521367521,0.732203389830508,0.278538812785388,0.885245901639344,0.103601767943777,0.229230687614186,0.424778761061947,0.902654867256637,0.329860656631763,0.824139789557957,0.198155595165638,0.357576760987357,0.865030383260631,0.949612403100775,-1.38353967812426e-08,-0.203611005237199,0.203610977566406,1.00000048405773,0.653421493356844,1.34657947475861,0.131113376995312,0.114096210493946,0.149121923277744
